悪口,優しい表現
ばか,正直
バカ,正直
馬鹿,正直
あほ,よくない
アホ,よくない
死ね,好きじゃない
しね,好きじゃない
消えろ,見たくない
ごみ,よくない
ゴミ,よくない
かす,よくない
カス,よくない
デブ,ふくよか
ブス,個性的
ブサイク,個性的
うざい,好きじゃない
きもい,よくない
キモい,よくない
きらい,好きじゃない
キライ,好きじゃない
嫌い,好きじゃない
きも,好きじゃない
キモ,好きじゃない
死ねよ,見たくない
ぼけ,うっかり
ボケ,うっかり
チー牛,落ち着いてるね
消えろ,見たくない
けち,合理的
ケチ,合理的
ちび,可愛らしい
チビ,可愛らしい
頑固,意思が固い
ガンコ,意思が固い
ビビり,謙虚
うるさい,元気
面白くない,これから面白くなる
